data,all_num,all_nd_num,g_num,g_nd_num,l_num,l_nd_num,time
ca,-,-,-,-,-,-,-
ca,2726,2494,24,24,2702,2470,3623.221655607224
ff,-,-,-,-,-,-,-
ff,2715,2359,21,18,2694,2341,3169.4143631458282
