data,all_num,all_nd_num,g_num,g_nd_num,l_num,l_nd_num,time
ca,-,-,-,-,-,-,-
ca,2555,2304,20,16,2535,2288,4038.07182097435
ff,-,-,-,-,-,-,-
ff,2537,2147,15,14,2522,2133,3532.991938352585
